"Temps (s) Essai  #1";"Position (m) Essai  #1";"Vitesse (m/s) Essai  #1";"Accélération (m/s²) Essai  #1";"Temps (s) Essai  #2";"Position (m) Essai  #2";"Vitesse (m/s) Essai  #2";"Accélération (m/s²) Essai  #2";"Temps (s) Essai  #3";"Position (m) Essai  #3";"Vitesse (m/s) Essai  #3";"Accélération (m/s²) Essai  #3"
0,000;0,117;;;0,000;0,118;;;0,000;0,115;;
0,050;0,117;0,00;;0,050;0,118;0,00;;0,050;0,117;0,02;
0,100;0,117;5,81E-4;0,0;0,100;0,118;5,81E-4;0,0;0,100;0,117;0,01;-0,2
0,150;0,117;-5,69E-4;0,0;0,150;0,118;-5,73E-4;0,0;0,150;0,117;0,00;-0,1
0,200;0,117;0,00;-6,5E-5;0,200;0,118;-5,81E-4;0,0;0,200;0,117;0,00;0,0
0,250;0,117;-5,81E-4;0,0;0,250;0,118;5,69E-4;0,0;0,250;0,117;0,00;0,0
0,300;0,117;5,73E-4;0,0;0,300;0,118;0,00;0,0;0,300;0,117;7,81E-6;0,0
0,350;0,117;5,81E-4;0,0;0,350;0,118;5,77E-4;0,0;0,350;0,117;0,00;0,0
0,400;0,117;-5,73E-4;0,0;0,400;0,118;0,00;0,0;0,400;0,117;0,00;0,0
0,450;0,117;-5,81E-4;0,0;0,450;0,118;0,00;0,0;0,450;0,117;-5,81E-4;0,0
0,500;0,117;5,69E-4;0,0;0,500;0,118;0,00;0,0;0,500;0,117;5,73E-4;0,0
0,550;0,117;0,00;7,8E-5;0,550;0,118;3,94E-6;0,0;0,550;0,117;5,77E-4;1,3E-5
0,600;0,117;5,81E-4;0,0;0,600;0,118;-5,69E-4;0,0;0,600;0,117;0,00;0,0
0,650;0,117;-5,69E-4;0,0;0,650;0,118;0,00;0,0;0,650;0,117;-3,91E-6;0,0
0,700;0,117;0,00;-6,5E-5;0,700;0,118;-5,81E-4;0,0;0,700;0,117;5,69E-4;0,0
0,750;0,117;-5,81E-4;0,0;0,750;0,118;5,69E-4;0,0;0,750;0,117;0,00;0,0
0,800;0,117;5,73E-4;0,0;0,800;0,118;0,00;0,0;0,800;0,117;5,81E-4;0,0
0,850;0,117;5,81E-4;0,0;0,850;0,118;5,77E-4;0,0;0,850;0,117;-5,69E-4;0,0
0,900;0,117;-5,73E-4;0,0;0,900;0,118;0,00;0,0;0,900;0,117;0,00;0,0
0,950;0,117;-5,81E-4;0,0;0,950;0,118;0,00;0,0;0,950;0,117;0,00;0,0
1,000;0,117;5,69E-4;0,0;1,000;0,118;0,00;0,0;1,000;0,117;-5,77E-4;0,0
1,050;0,117;0,00;0,0;1,050;0,118;3,94E-6;0,0;1,050;0,117;0,00;0,0
1,100;0,117;-3,11E-5;0,0;1,100;0,118;-5,69E-4;0,0;1,100;0,117;0,00;0,0
1,150;0,117;0,00;0,1;1,150;0,118;0,00;0,0;1,150;0,117;0,00;0,0
1,200;0,117;0,01;0,6;1,200;0,118;-5,81E-4;0,0;1,200;0,117;0,00;0,0
1,250;0,118;0,03;1,7;1,250;0,118;5,69E-4;0,0;1,250;0,117;0,00;1,3E-5
1,300;0,118;0,15;3,2;1,300;0,118;0,00;1,8E-4;1,300;0,117;0,00;0,0
1,350;0,124;0,38;4,1;1,350;0,118;5,81E-4;0,0;1,350;0,117;3,90E-6;0,0
1,400;0,156;0,62;3,7;1,400;0,118;-5,38E-4;0,0;1,400;0,117;-5,73E-4;0,0
1,450;0,194;0,78;2,7;1,450;0,118;-0,01;0,0;1,450;0,117;-5,77E-4;0,0
1,500;0,235;0,87;1,8;1,500;0,118;-0,01;0,0;1,500;0,117;-3,90E-6;0,0
1,550;0,280;0,94;1,5;1,550;0,117;-6,05E-4;0,1;1,550;0,117;5,73E-4;0,0
1,600;0,330;1,01;1,3;1,600;0,118;0,00;0,1;1,600;0,117;5,93E-4;0,0
1,650;0,382;1,08;1,3;1,650;0,118;0,00;0,4;1,650;0,117;0,00;0,0
1,700;0,437;1,14;1,3;1,700;0,118;0,02;0,9;1,700;0,117;-0,01;0,0
1,750;0,496;1,20;1,4;1,750;0,117;0,09;1,5;1,750;0,116;-0,01;0,4
1,800;0,557;1,27;1,6;1,800;0,126;0,19;1,8;1,800;0,116;0,00;2,1
1,850;0,622;1,36;1,9;1,850;0,138;0,29;1,9;1,850;0,116;0,12;5,2
1,900;0,693;1,47;2,0;1,900;0,155;0,38;1,9;1,900;0,117;0,49;8,6
1,950;0,768;1,57;1,9;1,950;0,175;0,47;1,8;1,950;0,151;1,07;10,2
2,000;0,851;1,67;1,8;2,000;0,202;0,57;1,8;2,000;0,229;1,64;9,4
2,050;0,936;1,74;1,7;2,050;0,233;0,65;1,7;2,050;0,324;2,05;7,4
2,100;1,025;1,82;1,7;2,100;0,267;0,73;1,6;2,100;0,435;2,33;5,8
2,150;1,118;1,92;1,6;2,150;0,306;0,81;1,6;2,150;0,559;2,60;4,7
2,200;1,217;2,00;1,3;2,200;0,349;0,89;1,6;2,200;0,694;2,82;3,5
2,250;1,320;2,05;1,1;2,250;0,395;0,97;1,6;2,250;0,844;2,97;1,8
2,300;1,424;2,09;1,0;2,300;0,446;1,05;1,7;2,300;0,995;3,00;0,1
2,350;1,527;2,15;1,3;2,350;0,500;1,14;1,7;2,350;1,148;2,94;-1,0
2,400;1,637;2,22;1,6;2,400;0,559;1,22;1,7;2,400;1,292;2,87;-1,3
2,450;1,752;2,31;1,8;2,450;0,623;1,30;1,6;2,450;1,431;2,80;-1,1
2,500;1,865;2,40;1,9;2,500;0,690;1,39;1,6;2,500;1,572;2,76;-0,9
2,550;1,991;2,50;2,0;2,550;0,761;1,47;1,5;2,550;1,709;2,73;-0,8
2,600;2,119;2,61;2,0;2,600;0,837;1,54;1,4;2,600;1,843;2,68;-0,7
2,650;2,249;2,71;1,9;2,650;0,916;1,60;1,4;2,650;1,978;2,65;-0,5
2,700;2,389;2,80;1,7;2,700;0,997;1,67;1,6;2,700;2,107;2,63;-0,3
2,750;2,533;2,89;1,6;2,750;1,082;1,76;1,8;2,750;2,240;2,62;-0,2
2,800;2,675;2,95;1,6;2,800;1,172;1,87;1,7;2,800;2,371;2,62;0,0
2,850;2,829;3,04;1,6;2,850;1,270;1,95;1,4;2,850;2,502;2,62;0,0
2,900;2,979;3,13;1,9;2,900;1,370;2,00;1,2;2,900;2,632;2,63;-0,1
2,950;3,141;3,19;0,8;2,950;1,468;2,05;1,3;2,950;2,765;2,61;-0,3
3,000;3,301;3,38;-4,3;3,000;1,573;2,13;1,5;3,000;2,896;2,59;-0,2
3,050;3,465;3,03;-12,7;3,050;1,681;2,21;1,5;3,050;3,021;2,57;0,1
3,100;3,669;2,00;-18,6;3,100;1,795;2,28;1,3;3,100;3,151;2,60;0,3
3,150;3,683;0,77;-16,6;3,150;1,910;2,34;1,1;3,150;3,281;2,62;-1,1
3,200;3,682;0,05;-9,2;3,200;2,028;2,39;1,0;3,200;3,414;2,63;-5,6
3,250;3,683;-6,96E-4;-2,7;3,250;2,149;2,44;1,1;3,250;3,544;2,21;-11,6
3,300;3,683;1,23E-4;-0,2;3,300;2,273;2,49;1,2;3,300;3,679;1,33;-14,6
3,350;3,682;-3,28E-4;0,0;3,350;2,396;2,56;1,3;3,350;3,679;0,45;-11,8
3,400;3,683;0,00;0,0;3,400;2,529;2,63;1,3;3,400;3,679;0,00;-5,9
3,450;3,682;0,00;0,0;3,450;2,661;2,69;1,2;3,450;3,678;9,01E-4;-1,5
3,500;3,682;8,24E-5;0,0;3,500;2,796;2,74;1,2;3,500;3,679;0,00;0,0
3,550;3,682;0,00;0,0;3,550;2,935;2,80;1,3;3,550;3,679;0,00;0,0
3,600;3,683;0,00;0,0;3,600;3,077;2,88;1,4;3,600;3,679;-7,79E-4;-0,1
3,650;3,682;0,00;0,1;3,650;3,221;2,95;-0,4;3,650;3,679;-7,82E-4;-0,1
3,700;3,683;0,01;0,1;3,700;3,375;3,01;-5,7;3,700;3,679;-0,01;-0,1
3,750;3,682;0,01;0,0;3,750;3,522;2,55;-12,7;3,750;3,679;-0,02;-0,1
3,800;3,686;0,01;-0,1;3,800;3,679;1,57;-16,4;3,800;3,676;-0,02;0,0
3,850;3,682;0,00;-0,2;3,850;3,681;0,58;-13,3;3,850;3,676;-0,02;0,0
3,900;3,686;-0,01;-0,1;3,900;3,685;0,07;-6,8;3,900;3,676;-0,02;0,0
3,950;3,683;-0,01;0,0;3,950;3,688;0,06;-2,0;3,950;3,672;-0,02;0,1
4,000;3,683;-0,01;0,1;4,000;3,692;0,04;-0,5;4,000;3,672;-0,01;0,1
4,050;3,683;0,00;0,1;4,050;3,694;0,01;-0,6;4,050;3,672;0,00;0,1
4,100;3,683;-6,96E-4;0,1;4,100;3,693;-0,03;-0,5;4,100;3,672;0,00;0,1
4,150;3,682;-4,91E-4;0,1;4,150;3,690;-0,05;-0,1;4,150;3,672;-9,41E-4;0,0
4,200;3,683;-4,07E-4;0,1;4,200;3,686;-0,04;0,2;4,200;3,672;0,00;0,0
4,250;3,683;0,01;0,2;4,250;3,686;-0,01;0,3;4,250;3,672;0,00;0,0
4,300;3,683;0,03;0,1;4,300;3,685;0,00;0,2;4,300;3,672;-3,29E-4;0,0
4,350;3,687;0,02;-0,1;4,350;3,685;0,00;0,2;4,350;3,672;0,00;0,0
4,400;3,686;0,01;-0,3;4,400;3,685;0,01;0,2;4,400;3,672;0,00;0,0
4,450;3,686;-0,01;-0,3;4,450;3,685;0,02;0,1;4,450;3,672;0,00;0,0
4,500;3,686;-0,02;-0,1;4,500;3,688;0,02;0,1;4,500;3,672;-4,90E-4;0,0
4,550;3,684;-0,02;0,0;4,550;3,688;0,02;0,1;4,550;3,672;0,00;0,0
4,600;3,683;-0,01;0,1;4,600;3,689;0,03;0,0;4,600;3,672;0,00;0,0
4,650;3,683;0,00;0,1;4,650;3,692;0,03;-0,3;4,650;3,672;0,00;0,0
4,700;3,683;-6,97E-4;0,0;4,700;3,692;0,00;-0,4;4,700;3,672;0,00;-5,6E-4
4,750;3,683;-0,01;-0,1;4,750;3,693;-0,03;-0,3;4,750;3,672;0,00;0,0
4,800;3,683;-0,02;0,0;4,800;3,689;-0,04;0,0;4,800;3,673;0,00;0,0
4,850;3,680;-0,02;0,2;4,850;3,685;-0,03;0,2;4,850;3,672;0,00;0,0
4,900;3,680;0,00;;4,900;3,688;-0,01;0,2;4,900;3,672;0,00;0,0
4,950;3,680;0,03;;4,950;3,687;-0,01;0,1;4,950;3,672;0,00;0,0
5,000;3,683;;;5,000;3,686;-0,01;0,0;5,000;3,673;0,00;-9,7E-4
;;;;5,050;3,685;-0,01;0,0;5,050;3,671;0,00;0,0
;;;;5,100;3,686;0,00;0,0;5,100;3,672;-1,29E-4;-0,1
;;;;5,150;3,685;0,00;5,5E-4;5,150;3,672;-0,01;-0,1
;;;;5,200;3,685;0,00;0,0;5,200;3,672;-0,02;0,0
;;;;5,250;3,685;0,00;-0,1;5,250;3,669;-0,01;0,1
;;;;5,300;3,684;-0,01;;5,300;3,669;4,51E-4;0,1
;;;;5,350;3,685;-0,03;;5,350;3,672;0,00;0,1
;;;;5,400;3,681;;;5,400;3,669;0,00;0,1
;;;;;;;;5,450;3,669;0,01;0,0
;;;;;;;;5,500;3,671;0,01;-0,1
;;;;;;;;5,550;3,672;0,00;-0,2
;;;;;;;;5,600;3,670;-0,02;0,0
;;;;;;;;5,650;3,669;-0,01;0,1
;;;;;;;;5,700;3,668;0,01;
;;;;;;;;5,750;3,672;0,01;
;;;;;;;;5,800;3,669;;
